Category,Label,Decision Owner Email,Ready By,GO Definition,CONDITIONAL GO Definition,NO GO Definition,UI Framework Only,Gate,Tier
UX & Research,UX Validation Complete (Level 1),[name of pod's product manager],GTM Access,"Validation plan executed: internal product user sessions (3-5), external representative user sessions (5-8), and customer sessions completed with findings documented and applied",Validation partially complete; mitigation plan documented with timeline,Required validation (internal + external + customer sessions) has not been performed,true,true,TIER_1_ONLY
UX & Research,UX Validation Complete (Level 2),[name of pod's product manager],GTM Access,"Validation plan executed: internal product user sessions (3-5) and external representative user sessions (5-8) completed with findings documented and applied; no customer sessions required",Validation partially complete; mitigation plan documented with timeline,Required validation (internal + external) has not been performed,true,true,TIER_2_ONLY
UX & Research,UX Validation Complete (Level 3),[name of pod's product manager],GTM Access,"Validation plan executed: internal product user sessions (3-5) completed with findings documented and applied",Validation partially complete; mitigation plan documented with timeline,Required internal validation has not been performed,true,true,TIER_3_ONLY
UX & Research,UX Preview Validated (Level 1),[name of pod's product manager],GTM Access,"UX and Product Education have reviewed changes in UX Preview production group; both signed off on visual accuracy, interaction quality, and documentation needs",Preview available but one or more sign-offs still pending; issues identified with clear resolution plan,No UX Preview group configured or reviews not started,true,true,TIER_1_ONLY
UX & Research,UX Preview Validated (Level 2),[name of pod's product manager],GTM Access,"UX and Product Education have reviewed changes in UX Preview production group; both signed off on visual accuracy, interaction quality, and documentation needs",Preview available but one or more sign-offs still pending; issues identified with clear resolution plan,No UX Preview group configured or reviews not started,true,true,TIER_2_ONLY
UX & Research,UX Preview Validated (Level 3),[name of pod's product manager],GTM Access,"UX and Product Education have reviewed changes in UX Preview production group; both signed off on visual accuracy, interaction quality, and documentation needs",Preview available but one or more sign-offs still pending; issues identified with clear resolution plan,No UX Preview group configured or reviews not started,true,true,TIER_3_ONLY
UX & Research,Behavioral Baseline Established (Level 1),[name of pod's product manager],GTM Access,Baseline Pendo/usage metrics captured for all affected workflows; pre-launch snapshot documented with defined comparison criteria for post-launch analysis,Baseline partially captured; workaround plan documented,No behavioral baseline established for affected workflows,true,true,TIER_1_ONLY
UX & Research,Behavioral Baseline Established (Level 2),[name of pod's product manager],GTM Access,Baseline Pendo/usage metrics captured for all affected workflows; pre-launch snapshot documented with defined comparison criteria for post-launch analysis,Baseline partially captured; workaround plan documented,No behavioral baseline established for affected workflows,true,true,TIER_2_ONLY
UX & Research,Behavioral Baseline Established (Level 3),[name of pod's product manager],GTM Access,Baseline Pendo/usage metrics captured for all affected workflows; pre-launch snapshot documented with defined comparison criteria for post-launch analysis,Baseline partially captured; workaround plan documented,No behavioral baseline established for affected workflows,true,true,TIER_3_ONLY
Technical Readiness,Feature Gate Readiness (Level 1),[name of pod's product manager],Internal Readiness,"Feature gate required: implemented and tested; rollback verified in staging with <30 minute recovery time; gate controls validated for all cohort groups (Internal, Cohort 1, Cohort 2)",Feature gate implemented but rollback procedure not yet tested end-to-end; gate configuration documented,No feature gate implemented or validated,true,true,TIER_1_ONLY
Technical Readiness,Feature Gate Readiness (Level 2),[name of pod's product manager],Internal Readiness,"Feature gate required: implemented and tested; rollback verified in staging with <30 minute recovery time; gate controls validated for all cohort groups (Internal, Cohort 1, Cohort 2)",Feature gate implemented but rollback procedure not yet tested end-to-end; gate configuration documented,No feature gate implemented or validated,true,true,TIER_2_ONLY
Technical Readiness,Feature Gate Readiness (Level 3),[name of pod's product manager],Internal Readiness,"Feature gate recommended (optional): if used, implemented and tested; rollback verified; gate controls validated for cohort groups",Feature gate implemented but rollback procedure not yet tested end-to-end,No feature gate for a Level 3 change (optional),true,true,TIER_3_ONLY
Technical Readiness,Rollback Plan Ready (Level 1),[name of pod's product manager],Internal Readiness,"Rollback plan documented and tested: detection (<15 min), assessment (confirm rollout-related), feature gate disable (<30 min), stakeholder communication (<1 hour); communication template prepared",Rollback plan documented but not yet tested end-to-end; stakeholder communication template in draft,No rollback plan exists or rollback mechanism has not been identified,true,true,TIER_1_ONLY
Technical Readiness,Rollback Plan Ready (Level 2),[name of pod's product manager],Internal Readiness,"Rollback plan documented and tested: detection (<15 min), assessment (confirm rollout-related), feature gate disable (<30 min), stakeholder communication (<1 hour); communication template prepared",Rollback plan documented but not yet tested end-to-end; stakeholder communication template in draft,No rollback plan exists or rollback mechanism has not been identified,true,true,TIER_2_ONLY
Technical Readiness,Rollback Plan Ready (Level 3),[name of pod's product manager],Internal Readiness,"Rollback plan documented and tested: detection (<15 min), assessment (confirm rollout-related), feature gate disable (<30 min), stakeholder communication (<1 hour); communication template prepared",Rollback plan documented but not yet tested end-to-end; stakeholder communication template in draft,No rollback plan exists or rollback mechanism has not been identified,true,true,TIER_3_ONLY
Enablement & Training Readiness,In-App Education Deployed (Level 1),[Product Education],Internal Readiness,"Full onboarding (Pendo) and KB/help updates (Zendesk) deployed; owned by Product Education; accessibility reviewed; Pendo linked to Zendesk articles",Pendo and/or Zendesk/KB drafted and in review but not yet deployed; or accessibility review pending,Required full onboarding or help/KB not created or fail accessibility or plain-language review,true,true,TIER_1_ONLY
Enablement & Training Readiness,In-App Education Deployed (Level 2),[Product Education],Internal Readiness,"Guided walkthroughs (Pendo) and KB/help updates (Zendesk) deployed; owned by Product Education; accessibility reviewed; Pendo linked to Zendesk articles",Pendo and/or Zendesk/KB drafted and in review but not yet deployed; or accessibility review pending,Required guided walkthroughs or help/KB not created or fail accessibility or plain-language review,true,true,TIER_2_ONLY
Enablement & Training Readiness,In-App Education Deployed (Level 3),[Product Education],Internal Readiness,"Contextual guidance (Pendo) and KB/help updates (Zendesk) where applicable; owned by Product Education; accessibility reviewed; Pendo linked to Zendesk articles",Pendo and/or Zendesk/KB drafted and in review but not yet deployed; or accessibility review pending,Required contextual guidance or help/KB not created or fail accessibility or plain-language review,true,true,TIER_3_ONLY
Product,Internal CS notification complete (Level 1),[PM or Product],CS Prep,"PM coordinates: Slack notification to CS sent; Product Education (KB) and CS/Support (FAQ, support training, customer email draft) have completed CS Prep tasks. CS notified 18+ weeks before Cohort 1; materials available before Cohort 1.",Notification sent but FAQ or KB still in progress; CS acknowledged with clear timeline,CS not notified 18+ weeks before Cohort 1; or Slack/FAQ/KB/training/draft not available for CS,true,true,TIER_1_ONLY
Product,Internal CS notification complete (Level 2),[PM or Product],CS Prep,"PM coordinates: Slack notification to CS sent; Product Education (KB) and CS/Support (FAQ, support training, customer email draft) have completed CS Prep tasks. CS notified at least 2-4 weeks before Cohort 1; materials so CS can send advance email 2-4 weeks before.",Notification sent but FAQ or KB still in progress; CS acknowledged with clear timeline,CS not notified 2-4 weeks before Cohort 1; or Slack/FAQ/KB/training/draft not available for CS,true,true,TIER_2_ONLY
Product,Internal CS notification complete (Level 3),[PM or Product],CS Prep,"PM coordinates: Slack notification to CS sent; Product Education (KB) and CS/Support (FAQ, KB) have completed CS Prep tasks. CS notified before Cohort 1 within 3-6 week rollout so CS can decide on customer notification.",Notification sent but FAQ or KB still in progress; CS acknowledged with clear timeline,CS not notified before Cohort 1; or Slack/FAQ/KB not available for CS,true,true,TIER_3_ONLY
Customer Success,Customer notification by CS executed (Level 1),[CSM or Customer Success lead],Cohort 1 Live,"Marketing executes the advance email plan; CSM owns this criterion and strategic outreach. All required customer communications sent: 18+ weeks advance email and CSM outreach per plan.",Customer communications on track with minor delays and catch-up plan,Required 18+ weeks advance email and CSM outreach not sent,true,true,TIER_1_ONLY
Customer Success,Customer notification by CS executed (Level 2),[CSM or Customer Success lead],Cohort 1 Live,"Marketing executes the advance email plan; CSM owns this criterion and strategic outreach. All required customer communications sent: advance email 2-4 weeks before.",Customer communications on track with minor delays and catch-up plan,Required 2-4 weeks advance email not sent,true,true,TIER_2_ONLY
Customer Success,Customer notification by CS executed (Level 3),[CSM or Customer Success lead],Cohort 1 Live,"Marketing executes the advance email plan; CSM owns this criterion and strategic outreach. KB article updates upon release; CS has notified customers where appropriate or documented that no customer notification was needed.",Customer notification decision documented and in progress,KB not updated and CS customer notification not addressed,true,true,TIER_3_ONLY
